Start,End,Time in bed,Heart rate,Activity (steps),Sleep score,睡眠质量（好，一般，不好）
2017/3/7--22:13:00,2017/3/8--6:15:00,8:01,68,7000,90%,
2017/3/8--21:13:00,2017/3/9--6:18:00,9:05,78,3744,85%,
2017/3/9--21:48:00,2017/3/10--5:01:00,7:13,63,7028,71%,
2017/3/10--22:42:00,2017/3/11--6:57:00,8:14,60,2679,86%,
2017/3/12--22:39:00,2017/3/13--6:33:00,7:53,77,1572,80%,
2017/3/13--21:20:00,2017/3/14--5:02:00,7:42,89,6212,81%,
2017/3/14--21:06:00,2017/3/15--5:23:00,8:17,98,5933,89%,
2017/3/15--22:33:00,2017/3/16--6:17:00,7:44,98,9185,71%,
2017/3/16--22:33:00,2017/3/17--6:37:00,8:04,93,7887,95%,
2017/3/17--22:55:00,2017/3/18--8:02:00,9:07,68,10528,99%,
2017/3/18--22:26:00,2017/3/19--7:21:00,8:54,76,302,89%,
2017/3/20--0:02:00,2017/3/20--7:20:00,7:18,92,2750,79%,
2017/3/20--23:35:00,2017/3/21--7:16:00,7:41,67,3695,88%,
2017/3/21--23:20:00,2017/3/22--6:21:00,7:01,86,1913,79%,
2017/3/22--22:02:00,2017/3/23--5:15:00,7:12,70,7155,72%,
2017/3/23--22:20:00,2017/3/24--5:41:00,7:21,84,7810,76%,
2017/3/25--23:19:00,2017/3/26--7:16:00,7:56,86,3549,100%,
2017/3/26--22:03:00,2017/3/27--5:33:00,7:29,79,3554,83%,
2017/3/27--21:19:00,2017/3/28--5:42:00,8:22,97,7562,78%,
2017/3/28--22:29:00,2017/3/29--5:41:00,7:11,87,7823,78%,
2017/3/29--22:29:00,2017/3/30--6:04:00,7:34,81,7708,79%,
2017/3/30--22:42:00,2017/3/31--7:33:00,8:51,77,8615,93%,
2017/4/1--2:10:00,2017/4/1--8:37:00,6:27,82,9461,80%,
2017/4/1--21:22:00,2017/4/2--7:16:00,9:54,93,4595,95%,
2017/4/2--22:01:00,2017/4/3--6:20:00,8:19,60,2835,90%,
2017/4/3--21:58:00,2017/4/4--6:01:00,8:03,72,1898,92%,
2017/4/4--22:01:00,2017/4/5--6:11:00,8:09,83,8396,81%,
2017/4/5--23:45:00,2017/4/6--6:20:00,6:35,95,7948,73%,
2017/4/6--23:12:00,2017/4/7--6:20:00,7:07,79,14408,68%,
2017/4/8--0:00:00,2017/4/8--7:30:00,7:29,74,8646,75%,
2017/4/10--0:52:00,2017/4/10--6:32:00,5:40,77,771,65%,
2017/4/10--22:21:00,2017/4/11--5:41:00,7:19,80,11355,70%,
2017/4/11--6:03:00,2017/4/11--6:31:00,0:27,79,4533,6%,
2017/4/11--22:39:00,2017/4/12--5:55:00,7:16,69,4153,67%,
2017/4/12--21:42:00,2017/4/13--6:54:00,9:11,78,1318,74%,
2017/4/13--23:52:00,2017/4/14--8:05:00,8:12,69,889,83%,
2017/4/14--21:45:00,2017/4/15--7:52:00,10:07,67,4787,88%,
2017/4/15--23:23:00,2017/4/16--7:05:00,7:42,66,4581,73%,
2017/4/17--0:06:00,2017/4/17--7:51:00,7:44,83,1510,83%,
2017/4/17--22:12:00,2017/4/18--5:54:00,7:41,90,780,66%,
2017/4/18--22:43:00,2017/4/19--6:20:00,7:36,98,6284,59%,
2017/4/19--21:39:00,2017/4/20--5:30:00,7:51,80,8213,75%,
2017/4/20--22:15:00,2017/4/21--5:41:00,7:26,94,7905,75%,
2017/4/21--22:36:00,2017/4/22--7:46:00,9:09,60,8072,83%,
2017/4/23--0:53:00,2017/4/23--8:38:00,7:44,98,2666,86%,
2017/4/23--22:31:00,2017/4/24--6:31:00,7:59,87,3042,75%,
2017/4/24--23:07:00,2017/4/25--6:34:00,7:27,87,10319,72%,
2017/4/25--22:20:00,2017/4/26--6:20:00,8:00,93,8358,85%,
2017/4/26--22:25:00,2017/4/27--6:32:00,8:06,80,7337,68%,
2017/4/27--22:48:00,2017/4/28--6:40:00,7:51,92,6551,64%,
2017/4/28--23:39:00,2017/4/29--8:17:00,8:37,72,3357,90%,
2017/4/29--23:39:00,2017/4/30--7:23:00,7:43,72,2668,74%,
2017/4/30--22:28:00,2017/5/1--6:16:00,7:47,63,7491,72%,
2017/5/1--22:00:00,2017/5/2--6:17:00,8:16,67,11475,74%,
2017/5/2--21:47:00,2017/5/3--6:04:00,8:16,70,4810,77%,
2017/5/3--22:59:00,2017/5/4--6:20:00,7:21,67,6932,59%,
2017/5/4--22:37:00,2017/5/5--6:10:00,7:32,62,5954,73%,
2017/5/6--0:25:00,2017/5/6--7:45:00,7:20,70,11070,83%,
2017/5/7--21:51:00,2017/5/8--6:10:00,8:18,71,4310,81%,
2017/5/8--22:28:00,2017/5/9--6:11:00,7:43,89,8598,66%,
2017/5/9--23:33:00,2017/5/10--6:03:00,6:29,79,6073,64%,
2017/5/10--6:04:00,2017/5/10--7:45:00,1:40,92,4353,18%,
2017/5/10--22:43:00,2017/5/11--6:16:00,7:32,84,2854,82%,
2017/5/11--21:52:00,2017/5/12--6:40:00,8:47,79,4280,95%,
2017/5/13--0:42:00,2017/5/13--7:41:00,6:59,65,4068,73%,
2017/5/14--0:04:00,2017/5/14--8:11:00,8:06,85,3298,73%,
2017/5/14--21:57:00,2017/5/15--6:20:00,8:22,60,3958,77%,
2017/5/15--22:55:00,2017/5/16--6:30:00,7:34,85,7661,75%,
2017/5/16--22:41:00,2017/5/17--6:17:00,7:36,98,1865,73%,
2017/5/17--22:44:00,2017/5/18--6:40:00,7:56,70,6764,90%,
2017/5/18--23:17:00,2017/5/19--6:27:00,7:10,71,82,88%,
2017/5/20--1:04:00,2017/5/20--8:56:00,7:52,61,5606,73%,
2017/5/22--22:29:00,2017/5/23--7:35:00,9:06,87,8858,90%,
2017/5/24--0:14:00,2017/5/24--7:46:00,7:32,85,14276,70%,
2017/5/24--22:09:00,2017/5/25--6:37:00,8:28,76,3884,82%,
2017/5/25--22:19:00,2017/5/26--6:24:00,8:04,63,4565,73%,
2017/5/28--0:18:00,2017/5/28--8:01:00,7:43,67,3770,81%,
2017/5/28--22:37:00,2017/5/29--6:18:00,7:41,80,1450,75%,
2017/5/29--22:28:00,2017/5/30--6:11:00,7:42,100,7711,88%,
2017/5/30--21:59:00,2017/5/31--6:20:00,8:21,77,6430,75%,
2017/5/31--22:26:00,2017/6/1--5:45:00,7:19,60,6964,86%,
2017/6/1--22:59:00,2017/6/2--6:40:00,7:41,60,4562,80%,
2017/6/2--22:05:00,2017/6/3--6:11:00,8:05,62,1867,69%,
2017/6/3--21:56:00,2017/6/4--7:13:00,9:16,82,8205,72%,
2017/6/4--23:14:00,2017/6/5--6:21:00,7:06,88,6705,67%,
2017/6/5--22:30:00,2017/6/6--6:17:00,7:47,69,7820,74%,
2017/6/6--21:38:00,2017/6/7--5:53:00,8:14,72,5391,76%,
2017/6/7--22:54:00,2017/6/8--6:34:00,7:40,61,10542,41%,
2017/6/8--21:47:00,2017/6/9--6:17:00,8:30,83,255,70%,
2017/6/10--0:07:00,2017/6/10--7:55:00,7:47,100,10427,67%,
2017/6/11--22:18:00,2017/6/12--6:10:00,7:52,79,6507,78%,
2017/6/12--21:44:00,2017/6/13--6:17:00,8:32,63,10373,93%,
2017/6/13--22:18:00,2017/6/14--6:12:00,7:54,92,9204,74%,
2017/6/14--22:34:00,2017/6/15--6:13:00,7:38,64,5027,68%,
2017/6/15--22:19:00,2017/6/16--6:07:00,7:48,86,7106,76%,
2017/6/18--5:01:00,2017/6/18--7:34:00,2:33,80,12153,31%,
2017/6/18--7:35:00,2017/6/18--8:09:00,0:34,87,804,7%,
2017/6/18--22:22:00,2017/6/19--6:02:00,7:39,87,5251,66%,
2017/6/19--22:57:00,2017/6/20--6:24:00,7:26,95,6672,70%,
2017/6/20--22:31:00,2017/6/21--6:15:00,7:43,64,7007,77%,
2017/6/21--6:16:00,2017/6/21--7:03:00,0:47,62,17643,10%,
2017/6/21--22:32:00,2017/6/22--6:10:00,7:37,98,4898,72%,
2017/6/22--23:37:00,2017/6/23--6:38:00,7:00,61,7064,59%,
2017/6/23--23:26:00,2017/6/24--7:11:00,7:44,79,114,74%,
2017/6/25--22:08:00,2017/6/26--6:18:00,8:10,74,3403,83%,
2017/6/26--21:24:00,2017/6/27--6:15:00,8:51,97,6043,90%,
2017/6/27--21:52:00,2017/6/28--6:33:00,8:41,61,8946,86%,
2017/6/28--21:53:00,2017/6/29--6:21:00,8:28,82,7778,69%,
2017/6/29--22:32:00,2017/6/30--6:33:00,8:00,90,5510,77%,
2017/7/3--0:31:00,2017/7/3--7:44:00,7:12,78,17770,81%,
2017/7/3--22:37:00,2017/7/4--6:18:00,7:41,91,10604,73%,
2017/7/4--22:07:00,2017/7/5--5:55:00,7:48,70,7474,74%,
2017/7/5--21:48:00,2017/7/6--5:43:00,7:55,93,6430,66%,
2017/7/6--22:33:00,2017/7/7--6:31:00,7:57,77,11076,73%,
2017/7/9--22:36:00,2017/7/10--5:59:00,7:22,63,12647,70%,
2017/7/10--22:25:00,2017/7/11--6:01:00,7:35,68,4260,74%,
2017/7/11--21:39:00,2017/7/12--6:06:00,8:26,80,5504,65%,
2017/7/12--23:12:00,2017/7/13--6:25:00,7:13,82,6915,67%,
2017/7/13--22:30:00,2017/7/14--6:45:00,8:14,77,3919,81%,
2017/7/15--1:10:00,2017/7/15--7:54:00,6:43,63,5342,78%,
2017/7/16--2:12:00,2017/7/16--7:53:00,5:40,75,3739,69%,
2017/7/16--22:08:00,2017/7/17--6:25:00,8:17,78,5925,70%,
2017/7/17--22:51:00,2017/7/18--6:17:00,7:26,79,4840,71%,
2017/7/18--22:00:00,2017/7/19--6:39:00,8:39,91,5157,84%,
2017/7/19--21:45:00,2017/7/20--5:55:00,8:09,93,4336,87%,
2017/7/22--1:06:00,2017/7/22--7:54:00,6:48,66,135,68%,
2017/7/22--23:13:00,2017/7/23--7:10:00,7:57,77,5579,78%,
2017/7/23--21:57:00,2017/7/24--5:49:00,7:51,65,3901,84%,
2017/7/25--5:34:00,2017/7/25--5:55:00,0:21,78,6485,5%,
2017/7/25--22:04:00,2017/7/26--5:48:00,7:43,90,5451,87%,
2017/7/26--22:29:00,2017/7/27--6:05:00,7:35,62,2899,74%,
2017/7/27--21:53:00,2017/7/28--5:50:00,7:57,67,1552,51%,
2017/7/28--23:29:00,2017/7/29--6:22:00,6:53,84,5221,38%,
2017/7/29--22:00:00,2017/7/30--6:50:00,8:49,61,3834,72%,
2017/7/30--23:20:00,2017/7/31--6:33:00,7:12,94,1018,89%,
2017/7/31--22:39:00,2017/8/1--6:19:00,7:39,61,1837,82%,
2017/8/1--23:15:00,2017/8/2--6:10:00,6:54,77,893,77%,
2017/8/2--22:32:00,2017/8/3--6:06:00,7:33,99,5280,81%,
2017/8/3--23:14:00,2017/8/4--6:32:00,7:18,98,3584,80%,
2017/8/4--22:59:00,2017/8/5--7:31:00,8:31,70,1114,76%,
2017/8/5--23:37:00,2017/8/6--7:38:00,8:00,90,5152,81%,
2017/8/6--23:03:00,2017/8/7--8:12:00,9:08,69,3045,99%,
2017/8/7--23:14:00,2017/8/8--7:41:00,8:26,72,2429,73%,
2017/8/8--22:34:00,2017/8/9--6:05:00,7:31,94,7187,81%,
2017/8/9--23:22:00,2017/8/10--5:53:00,6:30,92,4488,59%,
2017/8/12--22:58:00,2017/8/13--6:40:00,7:42,69,5541,79%,
2017/8/13--22:46:00,2017/8/14--5:51:00,7:04,70,6246,58%,
2017/8/14--22:32:00,2017/8/15--5:51:00,7:18,62,7940,67%,
2017/8/15--21:56:00,2017/8/16--6:30:00,8:34,60,5029,83%,
2017/8/16--22:01:00,2017/8/17--5:29:00,7:27,82,9185,81%,
2017/8/17--20:36:00,2017/8/18--4:53:00,8:16,74,7581,35%,
2017/8/25--23:37:00,2017/8/26--6:38:00,7:00,91,10605,30%,
2017/8/27--22:15:00,2017/8/28--7:00:00,8:44,98,13476,94%,
2017/8/28--22:03:00,2017/8/29--7:20:00,9:17,86,3921,82%,
2017/8/30--23:01:00,2017/8/31--6:38:00,7:37,63,3332,74%,
2017/8/31--23:01:00,2017/9/1--7:16:00,8:15,63,3001,81%,
2017/9/1--22:33:00,2017/9/2--7:38:00,9:04,64,7268,89%,
2017/9/3--0:46:00,2017/9/3--8:08:00,7:21,67,4835,81%,
2017/9/3--23:07:00,2017/9/4--7:22:00,8:14,76,3230,84%,
2017/9/4--22:49:00,2017/9/5--6:07:00,7:17,91,1333,59%,
2017/9/5--22:38:00,2017/9/6--6:08:00,7:30,90,8922,81%,
2017/9/6--22:02:00,2017/9/7--6:02:00,7:59,86,5095,79%,
2017/9/7--22:26:00,2017/9/8--6:05:00,7:39,65,5470,77%,
2017/9/9--21:24:00,2017/9/10--6:13:00,8:48,89,2257,74%,
2017/9/11--22:39:00,2017/9/12--6:06:00,7:27,67,12094,56%,
2017/9/12--22:03:00,2017/9/13--6:08:00,8:04,60,6059,86%,
2017/9/13--23:43:00,2017/9/14--6:32:00,6:48,95,6075,55%,
2017/9/14--22:06:00,2017/9/15--6:05:00,7:59,69,4400,79%,
2017/9/16--0:18:00,2017/9/16--8:51:00,8:33,98,4880,91%,
2017/9/17--22:50:00,2017/9/18--6:32:00,7:41,72,7213,71%,
2017/9/18--22:19:00,2017/9/19--6:04:00,7:44,74,3640,69%,
2017/9/19--22:16:00,2017/9/20--6:04:00,7:47,65,5184,76%,
2017/9/20--22:04:00,2017/9/21--6:06:00,8:02,78,4443,65%,
2017/9/21--22:23:00,2017/9/22--6:07:00,7:44,60,5242,72%,
2017/9/24--21:44:00,2017/9/25--5:57:00,8:13,60,5142,80%,
2017/9/25--22:17:00,2017/9/26--6:19:00,8:01,68,5050,73%,
2017/9/26--23:01:00,2017/9/27--5:49:00,6:47,65,1706,66%,
2017/9/27--22:06:00,2017/9/28--6:08:00,8:02,86,10076,83%,
2017/9/28--23:36:00,2017/9/29--6:41:00,7:04,82,5320,75%,
2017/9/29--23:14:00,2017/9/30--8:00:00,8:46,76,2809,80%,
2017/10/1--0:03:00,2017/10/1--7:36:00,7:33,88,6235,79%,
2017/10/1--21:44:00,2017/10/2--6:05:00,8:21,72,2757,69%,
2017/10/2--22:55:00,2017/10/3--6:00:00,7:05,87,5551,76%,
2017/10/3--21:41:00,2017/10/4--6:25:00,8:44,61,3729,96%,
2017/10/4--22:44:00,2017/10/5--6:05:00,7:20,75,7101,75%,
2017/10/5--21:24:00,2017/10/6--4:37:00,7:13,97,4906,76%,
2017/10/6--22:56:00,2017/10/7--7:44:00,8:47,97,4507,55%,
2017/10/7--21:57:00,2017/10/8--8:05:00,10:07,70,1588,71%,
2017/10/9--22:27:00,2017/10/10--6:10:00,7:42,83,3951,79%,
2017/10/10--22:23:00,2017/10/11--6:00:00,7:36,77,5912,80%,
2017/10/11--22:32:00,2017/10/12--6:10:00,7:38,69,5314,71%,
2017/10/12--22:22:00,2017/10/13--6:37:00,8:14,66,3240,79%,
2017/10/13--23:03:00,2017/10/14--8:15:00,9:11,89,356,88%,
2017/10/14--22:58:00,2017/10/15--7:24:00,8:25,91,388,80%,
2017/10/15--22:47:00,2017/10/16--5:56:00,7:09,62,4287,69%,
2017/10/16--21:51:00,2017/10/17--6:01:00,8:09,97,7129,74%,
2017/10/17--21:41:00,2017/10/18--6:02:00,8:21,78,3342,78%,
2017/10/19--0:01:00,2017/10/19--6:02:00,6:00,92,4074,60%,
2017/10/19--21:13:00,2017/10/20--6:14:00,9:00,81,907,100%,
2017/10/21--0:05:00,2017/10/21--7:57:00,7:51,71,5899,89%,
2017/10/22--0:25:00,2017/10/22--7:45:00,7:20,79,71,79%,
2017/10/22--21:50:00,2017/10/23--6:00:00,8:10,70,5210,82%,
2017/10/23--22:18:00,2017/10/24--6:01:00,7:42,93,6636,65%,
2017/10/24--22:15:00,2017/10/25--6:06:00,7:51,86,5355,83%,
2017/10/25--21:55:00,2017/10/26--6:00:00,8:05,69,4119,65%,
2017/10/27--1:50:00,2017/10/27--6:51:00,5:01,97,5364,59%,
2017/10/28--22:51:00,2017/10/29--7:51:00,9:00,89,1097,91%,
2017/10/29--22:26:00,2017/10/30--6:00:00,7:34,97,1430,78%,
2017/10/30--22:52:00,2017/10/31--5:43:00,6:51,97,7603,62%,
2017/10/31--23:29:00,2017/11/1--5:02:00,5:33,93,9304,49%,
2017/11/2--21:25:00,2017/11/3--6:21:00,8:56,81,5051,74%,
2017/11/3--23:23:00,2017/11/4--7:26:00,8:02,100,787,89%,
2017/11/5--22:30:00,2017/11/6--6:05:00,7:35,61,5504,70%,
2017/11/6--22:08:00,2017/11/7--5:58:00,7:49,99,3709,75%,
2017/11/7--21:01:00,2017/11/8--5:45:00,8:43,95,144,90%,
2017/11/8--23:11:00,2017/11/9--6:30:00,7:18,80,6094,76%,
2017/11/9--22:04:00,2017/11/10--7:15:00,9:11,66,847,96%,
2017/11/10--23:29:00,2017/11/11--7:21:00,7:51,97,5919,83%,
2017/11/11--23:06:00,2017/11/12--7:18:00,8:11,85,1751,84%,
2017/11/12--23:39:00,2017/11/13--8:30:00,8:50,60,3789,79%,
2017/11/14--21:16:00,2017/11/15--6:50:00,9:34,94,52,93%,
2017/11/15--21:23:00,2017/11/16--6:51:00,9:27,99,27,85%,
2017/11/16--22:33:00,2017/11/17--6:07:00,7:34,86,430,80%,
2017/11/17--23:08:00,2017/11/18--7:20:00,8:11,67,3281,91%,
2017/11/19--21:58:00,2017/11/20--6:02:00,8:04,76,4153,82%,
2017/11/20--22:26:00,2017/11/21--6:00:00,7:33,72,6494,86%,
2017/11/21--22:26:00,2017/11/22--5:57:00,7:31,79,9426,68%,
2017/11/22--22:34:00,2017/11/23--6:01:00,7:26,79,7565,80%,
2017/11/23--22:56:00,2017/11/24--6:30:00,7:33,82,5735,80%,
2017/11/25--23:14:00,2017/11/26--8:19:00,9:05,62,5116,100%,
2017/11/26--22:10:00,2017/11/27--6:05:00,7:55,66,27,63%,
2017/11/27--22:36:00,2017/11/28--5:58:00,7:22,72,6546,73%,
2017/11/28--22:54:00,2017/11/29--6:09:00,7:14,68,6417,80%,
2017/11/29--22:33:00,2017/11/30--6:26:00,7:52,90,5474,83%,
2017/11/30--20:54:00,2017/12/1--5:55:00,9:01,92,4574,77%,
2017/12/3--23:10:00,2017/12/4--6:15:00,7:05,93,3400,63%,
2017/12/4--21:20:00,2017/12/5--5:50:00,8:29,75,6015,70%,
2017/12/5--22:56:00,2017/12/6--6:15:00,7:19,62,3179,68%,
2017/12/6--21:56:00,2017/12/7--5:50:00,7:53,69,6346,63%,
2017/12/7--22:04:00,2017/12/8--6:31:00,8:27,66,218,82%,
2017/12/9--23:39:00,2017/12/10--8:15:00,8:35,87,15346,95%,
2017/12/10--22:16:00,2017/12/11--6:06:00,7:49,60,96,70%,
2017/12/11--21:47:00,2017/12/12--5:57:00,8:09,75,7339,68%,
2017/12/12--22:09:00,2017/12/13--5:55:00,7:45,84,6970,72%,
2017/12/14--22:47:00,2017/12/15--5:51:00,7:04,75,1566,60%,
2017/12/17--21:35:00,2017/12/18--6:08:00,8:33,69,5184,80%,
2017/12/18--21:39:00,2017/12/19--6:05:00,8:26,89,75,79%,
2017/12/19--22:05:00,2017/12/20--6:25:00,8:20,92,3088,79%,
2017/12/20--21:30:00,2017/12/21--5:52:00,8:22,63,4553,59%,
2017/12/21--22:10:00,2017/12/22--6:55:00,8:44,93,1306,75%,
2017/12/26--21:19:00,2017/12/27--7:55:00,10:35,89,373,97%,
2017/12/29--0:06:00,2017/12/29--7:57:00,7:50,85,5168,75%,
2017/12/29--22:00:00,2017/12/30--8:08:00,10:08,67,61,75%,
2018/1/1--21:30:00,2018/1/2--5:56:00,8:25,78,2544,81%,
2018/1/2--22:31:00,2018/1/3--5:48:00,7:17,72,475,76%,
2018/1/3--20:28:00,2018/1/4--3:40:00,0:00,97,47,0%,
2018/1/4--22:19:00,2018/1/5--7:25:00,9:05,80,5064,91%,
2018/1/6--23:13:00,2018/1/7--8:00:00,8:46,64,2101,86%,
2018/1/7--22:09:00,2018/1/8--6:10:00,8:01,93,1334,83%,
2018/1/8--22:53:00,2018/1/9--5:45:00,6:51,66,2262,77%,
2018/1/9--22:22:00,2018/1/10--6:23:00,8:01,95,4529,90%,
2018/1/10--21:31:00,2018/1/11--5:10:00,7:38,67,6224,71%,
2018/1/11--21:54:00,2018/1/12--5:01:00,7:06,83,47,70%,
2018/1/12--21:50:00,2018/1/13--7:38:00,9:48,99,6296,70%,
2018/1/13--22:07:00,2018/1/14--7:09:00,9:02,76,2405,64%,
2018/1/14--22:02:00,2018/1/15--5:50:00,7:48,87,9237,73%,
2018/1/15--22:45:00,2018/1/16--6:00:00,7:15,77,2818,79%,
2018/1/16--22:09:00,2018/1/17--6:01:00,7:51,69,5752,71%,
2018/1/17--22:45:00,2018/1/18--6:12:00,7:27,70,6631,84%,
2018/1/18--22:46:00,2018/1/19--6:48:00,8:02,76,9516,59%,
2018/1/19--22:21:00,2018/1/20--8:22:00,10:01,76,4454,71%,
2018/1/20--23:44:00,2018/1/21--7:01:00,7:17,91,7253,67%,
2018/1/21--22:04:00,2018/1/22--6:01:00,7:56,70,22,84%,
2018/1/22--23:15:00,2018/1/23--6:00:00,6:44,79,2334,66%,
2018/1/23--21:41:00,2018/1/24--6:00:00,8:18,88,2867,73%,
2018/1/24--20:58:00,2018/1/25--6:02:00,9:03,81,4881,84%,
2018/1/25--23:17:00,2018/1/26--6:00:00,6:43,96,2149,72%,
2018/1/26--22:13:00,2018/1/27--7:20:00,9:07,65,1720,92%,
2018/1/28--1:21:00,2018/1/28--8:49:00,7:27,92,6518,81%,
2018/1/28--21:30:00,2018/1/29--5:00:00,7:29,93,29,69%,
2018/1/29--21:37:00,2018/1/30--6:01:00,8:23,65,107,79%,
2018/1/30--22:18:00,2018/1/31--6:03:00,7:44,67,5277,77%,
2018/1/31--22:29:00,2018/2/1--6:02:00,7:32,92,1325,72%,
2018/2/1--21:25:00,2018/2/2--6:45:00,9:20,79,3319,80%,
2018/2/3--2:20:00,2018/2/3--7:44:00,5:23,63,4810,65%,
2018/2/3--8:32:00,2018/2/3--9:08:00,0:36,63,166,8%,
2018/2/3--22:29:00,2018/2/4--7:37:00,9:08,62,362,96%,
2018/2/4--23:09:00,2018/2/5--6:01:00,6:52,68,2528,72%,
2018/2/5--22:02:00,2018/2/6--6:00:00,7:58,66,7982,78%,
2018/2/6--21:44:00,2018/2/7--6:12:00,8:28,84,5039,82%,
2018/2/7--23:18:00,2018/2/8--6:48:00,7:29,79,2435,73%,
2018/2/8--22:41:00,2018/2/9--6:00:00,7:18,82,68,93%,
2018/2/9--23:07:00,2018/2/10--7:26:00,8:18,67,5598,76%,
2018/2/11--22:44:00,2018/2/12--7:08:00,8:24,78,1901,91%,
2018/2/12--21:54:00,2018/2/13--7:02:00,9:08,79,56,91%,
2018/2/13--23:49:00,2018/2/14--7:00:00,7:11,76,64,81%,
2018/2/14--21:24:00,2018/2/15--6:20:00,8:56,88,3316,71%,
2018/2/15--21:36:00,2018/2/16--6:50:00,9:13,93,6555,80%,
2018/2/16--22:52:00,2018/2/17--7:48:00,8:55,67,2291,91%,
